iter	Passed	Remaining
763	21026	254189
764	21047	254077
765	21069	253983
766	21090	253885
767	21112	253791
768	21134	253696
769	21156	253600
770	21179	253519
771	21200	253418
772	21222	253328
773	21244	253233
774	21266	253144
775	21289	253054
776	21310	252961
777	21333	252873
778	21355	252781
779	21376	252682
780	21399	252597
781	21421	252515
782	21443	252414
783	21465	252324
784	21487	252235
785	21509	252150
786	21531	252063
787	21553	251966
788	21575	251883
789	21596	251782
790	21620	251705
791	21647	251678
792	21669	251590
793	21691	251498
794	21713	251417
795	21736	251336
796	21757	251240
797	21780	251159
798	21802	251073
799	21824	250984
800	21846	250892
801	21868	250807
802	21890	250721
803	21912	250631
804	21934	250548
805	21956	250461
806	21979	250376
807	22000	250281
808	22022	250198
809	22044	250114
810	22067	250031
811	22091	249970
812	22113	249884
813	22135	249796
814	22157	249708
815	22179	249631
816	22201	249540
817	22223	249460
818	22246	249384
819	22270	249316
820	22292	249232
821	22314	249151
822	22336	249064
823	22357	248972
824	22379	248889
825	22401	248802
826	22424	248732
827	22447	248655
828	22473	248619
829	22499	248582
830	22521	248500
831	22542	248406
832	22565	248323
833	22587	248241
834	22609	248162
835	22631	248083
836	22654	248004
837	22678	247946
838	22701	247876
839	22724	247800
840	22747	247738
841	22772	247681
842	22794	247600
843	22818	247539
844	22841	247466
845	22863	247386
846	22886	247322
847	22909	247251
848	22932	247179
849	22955	247108
850	22984	247100
851	23007	247031
852	23030	246962
853	23051	246871
854	23073	246787
855	23095	246714
856	23117	246630
857	23140	246565
858	23162	246481
859	23183	246395
860	23209	246352
861	23231	246280
862	23254	246209
863	23274	246110
864	23296	246025
865	23321	245979
866	23360	246076
867	23386	246048
868	23421	246100
869	23444	246034
870	23467	245967
871	23491	245901
872	23514	245839
873	23537	245775
874	23561	245709
875	23585	245654
876	23609	245599
877	23631	245520
878	23654	245449
879	23677	245380
880	23699	245307
881	23727	245289
882	23750	245224
883	23774	245164
884	23796	245089
885	23821	245039
886	23843	244971
887	23866	244901
888	23890	244840
889	23911	244756
890	23933	244675
891	23956	244615
892	23979	244548
893	24003	244488
894	24026	244427
895	24050	244370
896	24074	244314
897	24095	244231
898	24117	244153
899	24139	244074
900	24166	244056
901	24190	243993
902	24214	243945
903	24237	243871
904	24259	243798
905	24281	243727
906	24305	243671
907	24327	243591
908	24351	243539
909	24380	243536
910	24404	243486
911	24429	243434
912	24452	243375
913	24476	243317
914	24499	243252
915	24520	243170
916	24545	243122
917	24577	243152
918	24599	243076
919	24621	243002
920	24644	242935
921	24665	242859
922	24688	242793
923	24712	242735
924	24734	242665
925	24757	242604
926	24781	242545
927	24804	242486
928	24827	242424
929	24850	242362
930	24873	242300
931	24897	242246
932	24921	242187
933	24944	242124
934	24968	242074
935	24992	242019
936	25015	241958
937	25038	241901
938	25063	241851
939	25086	241789
940	25110	241733
941	25131	241659
942	25153	241584
943	25177	241531
944	25200	241475
945	25222	241402
946	25244	241328
947	25267	241271
948	25291	241210
949	25317	241178
950	25341	241126
951	25364	241068
952	25387	241009
953	25410	240950
954	25433	240887
955	25462	240878
956	25484	240806
957	25505	240735
958	25528	240673
959	25551	240610
960	25575	240560
961	25598	240496
962	25621	240440
963	25643	240365
964	25664	240289
965	25686	240217
966	25714	240207
967	25738	240150
968	25761	240096
969	25785	240048
970	25811	240010
971	25834	239948
972	25855	239875
973	25883	239862
974	25907	239807
975	25930	239753
976	25952	239683
977	25975	239625
978	25997	239555
979	26019	239482
980	26044	239441
981	26070	239412
982	26092	239345
983	26114	239274
984	26136	239210
985	26158	239142
986	26180	239076
987	26203	239018
988	26226	238951
989	26249	238893
990	26272	238842
991	26298	238804
992	26325	238784
993	26347	238720
994	26370	238660
995	26394	238607
996	26427	238645
997	26451	238595
998	26474	238532
999	26497	238478
1000	26520	238423
1001	26547	238396
1002	26575	238387
1003	26599	238336
1004	26622	238282
1005	26644	238212
